FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED
1/1/20,WN,SJU,"San Juan, PR",PR,BWI,"Baltimore, MD",MD,1434,-1,1750,1744,-6,0
1/1/20,WN,SJU,"San Juan, PR",PR,BWI,"Baltimore, MD",MD,655,0,1005,1003,-2,0
1/1/20,WN,SJU,"San Juan, PR",PR,FLL,"Fort Lauderdale, FL",FL,1330,10,1515,1514,-1,0
1/1/20,WN,SJU,"San Juan, PR",PR,FLL,"Fort Lauderdale, FL",FL,1703,-2,1900,1840,-20,0
1/1/20,WN,SJU,"San Juan, PR",PR,FLL,"Fort Lauderdale, FL",FL,939,-6,1140,1114,-26,0
1/1/20,WN,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,1226,6,1435,1418,-17,0
1/1/20,WN,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,1536,36,1715,1737,22,0
1/1/20,WN,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,1817,-3,2030,2018,-12,0
1/1/20,WN,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,747,2,955,947,-8,0
1/1/20,WN,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,2147,17,2335,2337,2,0
1/1/20,WN,SJU,"San Juan, PR",PR,MDW,"Chicago, IL",IL,1619,-1,1935,1927,-8,0
1/1/20,WN,SJU,"San Juan, PR",PR,TPA,"Tampa, FL",FL,830,0,1040,1027,-13,0
1/1/20,WN,SJU,"San Juan, PR",PR,TPA,"Tampa, FL",FL,1540,0,1755,1742,-13,0
1/1/20,WN,TPA,"Tampa, FL",FL,SJU,"San Juan, PR",PR,1111,11,1450,1452,2,0
1/1/20,WN,TPA,"Tampa, FL",FL,SJU,"San Juan, PR",PR,1726,36,2040,2105,25,0
